"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of May 1, 2002","","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","10,567","52.87%","","",""
"Compact Probation","1,033","5.17%","","",""
"Nonadjudicated","1,912","9.57%","","",""
"Post Release","2,177","10.89%","","",""
"","15,689","78.50%","Probation Total","",""
"Parole","1,358","6.79%","","",""
"Compact Parole","435","2.18%","","",""
"Suspension","8","0.04%","","",""
"","1,801","9.01%","Parole Total","",""
"Intensive Supervision Program - Court","1,150","5.75%","","",""
"Intensive Supervision Program - Prison","307","1.54%","","",""
"Earned Release Supervision","1,040","5.20%","","",""
"Medical Release","0","0.00%","","",""
"","2,497","12.49%","Community Inmate Total","",""
"TOTAL","19,987","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,326","60.20%","1,945","55.26%","9,271","59.09%"
"White
4,715","38.75%","1,530","43.47%","6,245","39.80%"
"Hispanic
51","0.42%","15","0.43%","66","0.42%"
"Native American
25","0.21%","7","0.20%","32","0.20%"
"Asian
36","0.30%","23","0.65%","59","0.38%"
"Data Unavailable
16","0.13%","0","0.00%","16","0.10%"
"TOTAL
12,169","100.00%","3,520","100.00%","15,689","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,983","12.64%","","","",""
"Property
8,990","57.30%","","","",""
"Drug
4,716","30.06%","","","",""
"TOTAL
15,689","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,164","73.21%","117","55.45%","1,281","71.13%"
"White
413","25.97%","93","44.08%","506","28.10%"
"Hispanic
11","0.69%","","0.47%","12","0.67%"
"Native American
1","0.06%","1 0 0","0.00%","","0.06%"
"Asian
1","0.06%","","0.00%","11","0.06%"
"TOTAL
1,590","100.00%","211","100.00%","1,801","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
653","36.26%","","","",""
"Property
520","28.87%","","","",""
"Drug
628","34.87%","","","",""
"TOTAL
1,801","100.00%","","","",""
