"INMATE STATISTICS","","","",""
"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","3,590","2,050","10.05%",""
"Central Mississippi Correctional Facility","4,094","3,398","16.66%",""
"South Mississippi Correctional Institution","3,082","2,537","12.44%",""
"Youthful Offender Facility","58","19","0.09%",""
"County Jails - Approved","1,781","712","3.49%",""
"County Jails - Unapproved","0","565","2.77%",""
"Community Work Centers","1,154","469","2.30%",""
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","9,750","47.81%",""
"Regional Correctional Facilities","","","",""
"Alcorn County Correctional Facility","300","286","1.40%",""
"Bolivar County Correctional Facility","369","280","1.37%",""
"Carroll County Correctional Facility","280","256","1.26%",""
"Chickasaw County Correctional Facility","310","299","1.47%",""
"George County Correctional Facility","280","322","1.58%",""
"Holmes County Correctional Facility","280","261","1.28%",""
"Issaquena County Correctional Facility","274","301","1.48%","`"
"Jefferson County Correctional Facility","280","260","1.27%",""
"Kemper County Correctional Facility","355","306","1.50%",""
"Leake County Correctional Facility","280","246","1.21%",""
"Marion County Correctional Facility","280","376","1.84%",""
"Stone County Correctional Facility","326","265","1.30%",""
"Washington County Correctional Facility","300","135","0.66%",""
"Winston County Correctional Facility","280","240","1.18%",""
"Yazoo County Correctional Facility","300","281","1.38%",""
"TOTAL REGIONAL FACILITIES","4,494","4,114","20.17%",""
"Private Prisons","","","",""
"Delta Correctional Facility","972","0","0.00%",""
"East MS Correctional Facility","1,500","1,223","6.00%",""
"Marshall County Correctional Facility","1,000","975","4.78%",""
"Tallahatchie County Correctional Facility","1,500","782","3.83%",""
"Wilkinson County Correctional Facility","1,000","851","4.17%",""
"TOTAL PRIVATE PRISONS","5,972","3,831","18.79%",""
