"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,542","59.31%","373","29.98%","4,915","55.21%"
"White","3,043","817.00%","859","69.05%","3,902","43.83%"
"Hispanic","35",".46%","6",".48%","41",".46%"
"Native American","12",".16%","3",".24%","15",".17%"
"Asian","23",".30%","3",".24%","26",".29%"
"Data Unavailable","3",".04%","0",".00%","3",".03%"
"TOTAL","7,658","100.00%","1,244","100.00%","8,902","100.00%"
