"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,022","29.81%"
"Probation - Compact","1,039","3.09%"
"Probation - Nonadjudicated","3,836","11.41%"
"Probation - Post Release","9,650","28.70%"
"PROBATION TOTAL","24,547","73.02%"
"Parole","5,723","17.02%"
"Parole - Compact","358","1.06%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","6,081","18.09%"
"Intensive Supervision Program - Court","1,133","3.37%"
"Intensive Supervision Program - Prison","383","1.14%"
"Earned Release Supervision","1,435","4.27%"
"Medical Release","40","0.12%"
"COMMUNITY INMATE TOTAL","2,991","8.90%"
"TOTAL","33,619","100.00%"
