"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,958","30.17%"
"Probation - Compact","1,048","3.17%"
"Probation - Nonadjudicated","3,774","11.43%"
"Probation - Post Release","9,639","29.20%"
"PROBATION TOTAL","24,419","73.97%"
"Parole","5,302","16.06%"
"Parole - Compact","361","1.09%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5,663","17.15%"
"Intensive Supervision Program - Court","1,071","3.24%"
"Intensive Supervision Program - Prison","435","1.32%"
"Earned Release Supervision","1,386","4.20%"
"Medical Release","37","0.11%"
"COMMUNITY INMATE TOTAL","2,929","8.87%"
"TOTAL","33,011","100.00%"
