"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,186","58.15%","2,332","45.89%","12,518","55.39%"
"White","6,870","39.22%","2,625","51.65%","9,495","42.01%"
"Hispanic","147","0.84%","19","0.37%","166","0.73%"
"Native American","20","0.11%","","0.08%","24","0.11%"
"Asian","47","0.27%","44","0.08%","51","0.23%"
"Data Unavailable","248","1.42%","98","1.93%","346","1.53%"
"TOTAL","17,518","100.00%","5,082","100.00%","22,600","100.00%"
