"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,795","58.15%","362","28.06%","5,157","54.08%"
"White","3,375","40.93%","921","71.40%","4,296","45.05%"
"Hispanic","41",".50%","3",".23%","44",".46%"
"Native American","12",".15%","2",".16%","14",".15%"
"Asian","22",".27%","2",".16%","24",".25%"
"Data Unavailable","1",".01%","0",".00%","1",".01%"
"TOTAL","8,246","100.00%","1,290","100.00%","9,536","100.00%"
