"% OF TOTAL OFFENSES","34.77%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,904"
"Lifers","","1,644"
"Habitual Offenders","","1,245"
"Habitual Lifers","","194"
"Death Row","","60"
