"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,736","37.27%"
"Property","14,897","47.31%"
"Aggravated Assualt","1,242","3.94%"
"Violent","2,528","8.03%"
"Sex","1,082","3.44%"
"TOTAL","31,485","100.00%"
