"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,524","59.50%","379","30.81%","4,903","55.50%"
"White","3,006","817.00%","838","68.13%","3,844","43.51%"
"Hispanic","32",".42%","7",".57%","39",".44%"
"Native American","13",".17%","3",".24%","16",".18%"
"Asian","25",".33%","3",".24%","28",".32%"
"Data Unavailable","4",".05%","0",".00%","4",".05%"
"TOTAL","7,604","100.00%","1,230","100.00%","8,834","100.00%"
