"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,553","37.12%"
"Property","13,501","47.49%"
"Violent","3,326","11.70%"
"Sex","1,050","3.69%"
"TOTAL","28,430","100.00%"
