"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,499","37.05%"
"Property","13,486","47.59%"
"Violent","3,302","11.65%"
"Sex","1,050","3.71%"
"TOTAL","28,337","100.00%"
