"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","9,998","37.88%"
"Property","12,527","47.46%"
"Violent","2,917","11.05%"
"Sex","954","3.61%"
"TOTAL","26,396","100.00%"
