"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of  June 1, 2004","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","19,262","67.56%","","",""
"Compact Probation","1,062","3.72%","","",""
"Nonadjudicated","612","2.15%","","",""
"Post Release","1,300","4.56%","","",""
"","22,236","77.99%","Probation Total","",""
"Parole","1,935","6.79%","","",""
"Compact Parole","409","1.43%","","",""
"Suspension","0","0.00%","","",""
"","2,344","8.22%","Parole Total","",""
"Intensive Supervision Program - Court","2,036","7.14%","","",""
"Intensive Supervision Program - Prison","599","2.10%","","",""
"Earned Release Supervision","1,297","4.55%","","",""
"Medical Release","0","0.00%","","",""
"","3,932","13.79%","Community Inmate Total","",""
"TOTAL","28,512","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,616","58.73%","2,357","51.33%","10,973","56.97%"
"White
5,822","39.69%","2,171","47.28%","7,993","41.50%"
"Hispanic
79","0.54%","14","0.30%","93","0.48%"
"Native American
20","0.14%","5","0.11%","25","0.13%"
"Asian
35","0.24%","16","0.35%","51","0.26%"
"Data Unavailable
98","0.67%","29","0.63%","127","0.66%"
"TOTAL
14,670","100.00%","4,592","100.00%","19,262","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,440","12.67%","","","",""
"Property
10,296","53.46%","","","",""
"Drug
6,524","33.87%","","","",""
"TOTAL
19,260","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,105","66.01%","133","50.96%","1,238","63.98%"
"White
552","32.97%","124","47.51%","676","34.94%"
"Hispanic
11","0.66%","","1.15%","14","0.72%"
"Native American
3","0.18%","3 0 1","0.00%","23","0.16%"
"Asian
1","0.06%","","0.38%","","0.10%"
"Data Unavailable
2","0.12%","0","0.00%","2","0.10%"
"TOTAL
1,674","99.88%","261","100.00%","1,935","99.90%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
526","27.21%","","","",""
"Property
700","36.21%","","","",""
"Drug
707","36.58%","","","",""
"TOTAL
1,933","100.00%","","","",""
