"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,324","59.34%","2,683","48.08%","14,007","56.79%"
"White","7,382","38.68%","2,800","50.18%","10,182","41.28%"
"Hispanic","136","0.71%","18","0.32%","154","0.62%"
"Native American","23","0.12%","","0.07%","27","0.11%"
"Asian","51","0.27%","74","0.13%","58","0.24%"
"Data Unavailable","168","0.88%","68","1.22%","236","0.96%"
"TOTAL","19,084","100.00%","5,580","100.00%","24,664","100.00%"
