"% OF TOTAL OFFENSES","35.40%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,786"
"Lifers","","1,653"
"Habitual Offenders","","1,083"
"Habitual Lifers","","171"
"Death Row","","66"
