"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","6,123","17.22%"
"Probation - Compact","1,247","3.51%"
"Probation - Nonadjudicated","3,624","10.19%"
"Probation - Post Release","15,545","43.72%"
"TVC Probation","137","0.39%"
"PROBATION TOTAL","26,676","75.02%"
"Parole","6,779","19.06%"
"Parole - Compact","569","1.60%"
"Parole - Suspension","0","0.00%"
"TVC Parole","165","0.46%"
"PAROLE TOTAL","7,513","21.13%"
"Intensive Supervision Program - Court","663","1.86%"
"Intensive Supervision Program - Prison","30","0.08%"
"Earned Release Supervision","663","1.86%"
"Medical Release","12","0.03%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1,370","6.69%"
"TOTAL","35,559","100.00%"
