"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","12,995","59.62%","3,207","48.35%","16,202","56.99%"
"White","8,465","38.84%","3,334","50.26%","11,799","41.50%"
"Hispanic","146",".67%","24",".36%","170",".60%"
"Native American","26",".12%","10",".15%","36",".13%"
"Asian","65",".30%","19",".29%","84",".30%"
"Data Unavailable","100",".46%","39",".59%","139",".49%"
"TOTAL","21,797","100.00%","6,633","100.00%","28,430","100.00%"
