"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,198","37.27%"
"Property","14,260","47.47%"
"Aggravated Assualt","1,226","4.08%"
"Violent","2,184","7.27%"
"Sex","1,174","3.91%"
"TOTAL","30,042","100.00%"
