"BY RACE AND SEX","","","","","","","","","","",""
"","","","","% OF","","% OF","","","","% OF",""
"","","","TOTAL MALE","","","TOTAL FEMALE","","NO. OF","","TOTAL",""
"RACE","MALE","","POPULATION","","FEMALE","POPULATION","","OFFENDERS","","OFFENDERS",""
"Black","","15,037","","69.31%","1,234","","54.17%","","16,271","","67.87%"
"White","","6,455","","29.75%","1,024","","44.95%","","7,479","","31.20%"
"Hispanic","","132","","0.61%","39","","0.40%","","141","","0.59%"
"Native American","","21","","0.10%","","","0.13%","","24","","0.10%"
"Asian","","35","","0.16%","5 3","","0.22%","","40","","0.17%"
"Data Unavailable","","15","","0.07%","","","0.13%","","18","","0.08%"
"TOTAL","","21,695","","100.00%","2,278","","100.00%","","23,973","","100.00%"
