"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,056","60.72%","3,597","46.57%","19,653","57.52%"
"White","9,996","37.80%","4,006","51.86%","14,002","40.98%"
"Hispanic","203","0.77%","55",".71%","258",".76%"
"Native American","25",".09%","11",".14%","36",".11%"
"Asian","82",".31%","21",".27%","103",".30%"
"Data Unavailable","82",".31%","34",".44%","116",".34%"
"TOTAL","26,444","100.00%","7,724","100.00%","34,168","100.00%"
