"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,275","57.60%","2,346","46.54%","12,621","55.16%"
"White","7,088","39.73%","2,580","51.18%","9,668","42.25%"
"Hispanic","183","1.03%","23","0.46%","206","0.90%"
"Native American","23","0.13%","85","0.10%","28","0.12%"
"Asian","45","0.25%","","0.16%","53","0.23%"
"Data Unavailable","226","1.27%","79","1.57%","305","1.33%"
"TOTAL","17,840","100.00%","5,041","100.00%","22,881","100.00%"
