"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,190","60.03%","3,359","47.67%","17,549","57.19%"
"White","9,082","38.42%","3,589","50.94%","12,671","41.30%"
"Hispanic","169",".71%","34",".48%","203",".66%"
"Native American","27",".11%","6",".09%","33",".11%"
"Asian","73",".31%","20",".28%","93",".30%"
"Data Unavailable","97",".41%","38",".54%","135",".44%"
"TOTAL","23,638","100.00%","7,046","100.00%","30,684","100.00%"
