"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","12,956","59.84%","3,122","48.19%","16,078","57.16%"
"White","8,368","38.65%","3,279","50.62%","11,647","41.41%"
"Hispanic","149",".69%","24",".37%","173",".62%"
"Native American","21",".10%","7",".11%","28",".10%"
"Asian","61",".28%","18",".28%","79",".28%"
"Data Unavailable","95",".44%","28",".43%","123",".44%"
"TOTAL","21,650","100.00%","6,478","100.00%","28,128","100.00%"
