"% OF TOTAL OFFENSES","31.65%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,946"
"Lifers","","1,637"
"Habitual Offenders","","1,328"
"Habitual Lifers","","203"
"Death Row","","60"
