"100.00%","6,876","","100.00%","29,668","100.00%"
"BY OFFENSE","","","","",""
"","","NO. OF","% of TOTAL","",""
"OFFENSE","","OFFENDERS","OFFENDERS","",""
"Drug","","11,028","37.17%","",""
"Property","","14,145","47.68%","",""
"Aggravated Assualt","","1,231","4.15%","",""
"Violent","","2,129","7.18%","",""
"Sex","","1,135","3.83%","",""
"TOTAL","","29,668","100.00%","",""
