"At Large (Escapees & Walk-Aways)","","","0","24","0.12%","","",""
"TOTAL","","","24,225","20,393","","100.00%","",""
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","% OF","","% OF","","","% OF",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL",""
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS",""
"Black","11,908","64.15%","581","37.56%","12,490","","62.11%",""
"White","6,371","34.32%","950","61.41%","7,321","","36.41%",""
"Hispanic","199","1.07%","7",".45%","206","","1.02%",""
"Native American","28",".15%","5",".32%","33","",".16%",""
"Asian","47",".25%","1",".06%","48","",".24%",""
"Data Unavailable","9",".05%","3",".19%","12","",".06%",""
"TOTAL","18,562","100.00%","1,547","100.00%","20,110","","100.00%",""
"","Black","","White","Hispanic","Native American","Asian","","Data Unavailable TOTAL"
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male","Female"
