"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,064","59.81%","3,354","47.66%","17,418","57.01%"
"White","9,085","38.63%","3,588","50.98%","12,673","41.48%"
"Hispanic","169",".72%","33",".47%","202",".66%"
"Native American","25",".11%","6",".09%","31",".10%"
"Asian","75",".32%","20",".28%","95",".31%"
"Data Unavailable","98",".42%","37",".53%","135",".44%"
"TOTAL","23,516","100.00%","7,038","100.00%","30,554","100.00%"
