"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,692","58.64%","2,491","46.79%","13,183","55.96%"
"White","7,084","38.85%","2,715","51.00%","9,799","41.60%"
"Hispanic","152","0.83%","23","0.43%","175","0.74%"
"Native American","23","0.13%","52","0.04%","25","0.11%"
"Asian","48","0.26%","","0.09%","53","0.22%"
"Data Unavailable","234","1.28%","88","1.65%","322","1.37%"
"TOTAL","18,233","100.00%","5,324","100.00%","23,557","100.00%"
