"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,924","30.04%"
"Central Mississippi Correctional Facility","3,665","3,212","24.59%"
"South Mississippi Correctional Institution","3,204","2,745","21.02%"
"County Jails - Approved*","1,498","1,093","8.37%"
"County Jails - Unapproved**","0","299","2.29%"
"Community Work Centers","1,848","1,788","13.69%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,650","13,061","100.00%"
"Bolivar County Correctional Facility","294","238","8.66%"
"Carroll County Correctional Facility","280","236","8.58%"
"George County Correctional Facility","280","244","8.88%"
"Holmes County Correctional Facility","280","240","8.73%"
"Issaquena County Correctional Facility","274","236","8.58%"
"Jefferson County Correctional Facility","280","241","8.77%"
"Kemper County Correctional Facility","355","318","11.57%"
"Leake County Correctional Facility","280","250","9.09%"
"Marion County Correctional Facility","280","259","9.42%"
"Stone County Correctional Facility","280","241","8.77%"
"Winston County Correctional Facility","280","246","8.95%"
"TOTAL REGIONAL FACILITIES","3,163","2,749","100.00%"
"Delta Correctional Facility","972","904","17.02%"
"East MS Correctional Facility","1,500","1,326","24.97%"
"Marshall County Correctional Facility","1,000","933","17.57%"
"Walnut Grove Correctional Facility","1,500","1,200","22.59%"
"Wilkinson County Correctional Facility","1,000","948","17.85%"
"TOTAL PRIVATE PRISONS","5,972","5,311","100.00%"
"Community Trusties","2","16","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","84","0.34%"
"Court Order","0","268","1.08%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,807","21,489","86.74%"
"Intensive Supervision Program","0","1,414","5.71%"
"Earned Release Supervision Program","","1,424","5.75%"
"Medical Release","00","35","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2,873","11.60%"
"Other Custody","","359","1.45%"
"Off-Grounds Medical (Hospital)","0","8","0.03%"
"At Large (Escapees & Walk-Aways)","0","44","0.18%"
"TOTAL","23,807","24,773","100.00%"
