"% OF TOTAL OFFENSES","32.89%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,641"
"Lifers","","1,647"
"Habitual Offenders","","920"
"Habitual Lifers","","134"
"Death Row","","70"
