"% OF TOTAL OFFENSES","35.80%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,886"
"Lifers","","1,644"
"Habitual Offenders","","1,231"
"Habitual Lifers","","193"
"Death Row","","61"
