"","","","As of October 1, 2018","","",""
"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,573","60.54%","381","31.51%","4,954","56.53%"
"White","2,916","817.00%","817","67.58%","3,733","42.60%"
"Hispanic","36",".48%","6",".50%","42",".48%"
"Native American","10",".13%","3",".25%","13",".15%"
"Asian","16",".21%","1",".08%","17",".19%"
"Data Unavailable","3",".04%","1",".08%","4",".05%"
"TOTAL","7,554","100.00%","1,209","100.00%","8,763","100.00%"
