"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,046","58.43%","2,523","47.14%","13,569","55.94%"
"White","7,365","38.96%","2,703","50.50%","10,068","41.51%"
"Hispanic","192","1.02%","24","0.45%","216","0.89%"
"Native American","22","0.12%","5","0.09%","27","0.11%"
"Asian","47","0.25%","12","0.22%","59","0.24%"
"Data Unavailable","232","1.23%","85","1.59%","317","1.31%"
"TOTAL","18,904","100.00%","5,352","100.00%","24,256","100.00%"
