"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","12,193","59.88%","2,970","48.47%","15,163","57.24%"
"White","7,843","38.52%","3,066","50.03%","10,909","41.18%"
"Hispanic","132",".65%","23",".38%","155",".59%"
"Native American","18",".09%","8",".13%","26",".10%"
"Asian","60",".29%","14",".23%","74",".28%"
"Data Unavailable","116",".57%","47",".77%","163",".62%"
"TOTAL","20,362","100.00%","6,128","100.00%","26,490","100.00%"
