"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,168","59.17%","2,630","47.71%","13,798","56.58%"
"White","7,301","38.68%","2,777","50.38%","10,078","41.33%"
"Hispanic","144","0.76%","18","0.33%","162","0.66%"
"Native American","23","0.12%","","0.07%","27","0.11%"
"Asian","47","0.25%","84","0.15%","55","0.23%"
"Data Unavailable","191","1.01%","75","1.36%","266","1.09%"
"TOTAL","18,874","100.00%","5,512","100.00%","24,386","100.00%"
