"% OF TOTAL OFFENSES","29.97%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,947"
"Lifers","","1,680"
"Habitual Offenders","","1,412"
"Habitual Lifers","","213"
"Death Row","","60"
