"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,912","59.35%","2,271","41.72%","13,183","55.32%"
"White","7,215","39.24%","3,093","56.81%","10,308","43.25%"
"Hispanic","151","0.82%","33",".61%","184",".77%"
"Native American","13",".07%","15",".28%","28",".12%"
"Asian","65",".35%","13",".24%","78",".33%"
"Data Unavailable","31",".17%","19",".35%","50",".21%"
"TOTAL","18,387","100.00%","5,444","100.00%","23,831","100.00%"
