"At Large (Escapees & Walk-Aways)","","","0","24","0.11%","","",""
"TOTAL","","","24,225","21,137","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","% OF","","% OF","","","% OF",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL",""
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS",""
"Black","12,138","63.88%","597","37.31%","12,736","","61.25%",""
"White","6,576","34.61%","987","61.69%","7,563","","36.37%",""
"Hispanic","201","1.06%","7",".44%","208","","1.00%",""
"Native American","28",".15%","5",".31%","33","",".16%",""
"Asian","50",".26%","1",".06%","51","",".25%",""
"Data Unavailable","9",".05%","3",".19%","12","",".06%",""
"TOTAL","19,002","100.00%","1,600","100.00%","20,792","","100.00%",""
"","Black","","White","Hispanic","Native American","Asian","","Data Unavailable TOTAL"
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male","Female"
