"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","13,067","59.78%","3,167","48.11%","16,234","57.08%"
"White","8,461","38.71%","3,332","50.62%","11,793","41.46%"
"Hispanic","149",".68%","25",".38%","174",".61%"
"Native American","22",".10%","9",".14%","31",".11%"
"Asian","64",".29%","17",".26%","81",".28%"
"Data Unavailable","97",".44%","33",".50%","130",".46%"
"TOTAL","21,860","100.00%","6,583","100.00%","28,443","100.00%"
