"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","16,904","60.43%"
"Probation - Compact","1,100","3.93%"
"Probation - Nonadjudicated","1,230","4.40%"
"Probation - Post Release","2,993","10.70%"
"PROBATION TOTAL","22,227","79.45%"
"Parole","1,926","6.88%"
"Parole - Compact","436","1.56%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,362","8.44%"
"Intensive Supervision Program - Court","1,108","3.96%"
"Intensive Supervision Program - Prison","393","1.40%"
"Earned Release Supervision","1,880","6.72%"
"Medical Release","5","0.02%"
"COMMUNITY INMATE TOTAL","3,386","12.10%"
"TOTAL","27,975","100.00%"
