"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,383","58.55%","2,780","49.21%","14,163","56.45%"
"White","7,565","38.91%","2,732","48.36%","10,297","41.04%"
"Hispanic","170","0.87%","21","0.37%","191","0.76%"
"Native American","29","0.15%","6","0.11%","35","0.14%"
"Asian","53","0.27%","14","0.25%","67","0.27%"
"Data Unavailable","242","1.24%","96","1.70%","338","1.35%"
"TOTAL","19,442","100.00%","5,649","100.00%","25,091","100.00%"
