"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,275","15.46%"
"Central Mississippi Correctional Facility","3,750","3,562","16.82%"
"South Mississippi Correctional Institution","3,082","2,659","12.55%"
"Youthful Offender Facility","58","33","0.16%"
"County Jails - Approved","1,781","715","3.38%"
"County Jails - Unapproved","0","431","2.03%"
"Community Work Centers","1,154","659","3.11%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,334","53.51%"
"Alcorn County Correctional Facility","300","298","1.41%"
"Bolivar County Correctional Facility","369","292","1.38%"
"Carroll County Correctional Facility","280","276","1.30%"
"Chickasaw County Correctional Facility","310","308","1.45%"
"George County Correctional Facility","280","340","1.61%"
"Holmes County Correctional Facility","280","272","1.28%"
"Issaquena County Correctional Facility","274","274","1.29%"
"Jefferson County Correctional Facility","280","279","1.32%"
"Kemper County Correctional Facility","355","345","1.63%"
"Leake County Correctional Facility","280","274","1.29%"
"Marion County Correctional Facility","280","279","1.32%"
"Stone County Correctional Facility","326","279","1.32%"
"Washington County Correctional Facility","300","168","0.79%"
"Winston County Correctional Facility","280","269","1.27%"
"Yazoo County Correctional Facility","300","300","1.42%"
"TOTAL REGIONAL FACILITIES","4,494","4,253","20.08%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,248","5.89%"
"Marshall County Correctional Facility","1,000","996","4.70%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","926","4.37%"
"TOTAL PRIVATE PRISONS","5,972","3,170","14.96%"
