"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,484","58.08%","2,379","46.63%","12,863","55.55%"
"White","7,095","39.30%","2,609","51.14%","9,704","41.91%"
"Hispanic","184","1.02%","24","0.47%","208","0.90%"
"Native American","22","0.12%","","0.10%","27","0.12%"
"Asian","48","0.27%","95","0.18%","57","0.25%"
"Data Unavailable","219","1.21%","76","1.49%","295","1.27%"
"TOTAL","18,052","100.00%","5,102","100.00%","23,154","100.00%"
