"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,256","15.45%"
"Central Mississippi Correctional Facility","3,750","3,650","17.31%"
"South Mississippi Correctional Institution","3,082","3,048","14.46%"
"Youthful Offender Facility","58","38","0.18%"
"County Jails - Approved","1,781","719","3.41%"
"County Jails - Unapproved","0","348","1.65%"
"Community Work Centers","1,154","661","3.14%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,720","55.60%"
"Alcorn County Correctional Facility","300","237","1.12%"
"Bolivar County Correctional Facility","369","293","1.39%"
"Carroll County Correctional Facility","280","268","1.27%"
"Chickasaw County Correctional Facility","310","240","1.14%"
"George County Correctional Facility","280","198","0.94%"
"Holmes County Correctional Facility","280","200","0.95%"
"Issaquena County Correctional Facility","274","265","1.26%"
"Jefferson County Correctional Facility","280","269","1.28%"
"Kemper County Correctional Facility","355","259","1.23%"
"Leake County Correctional Facility","280","267","1.27%"
"Marion County Correctional Facility","280","271","1.29%"
"Stone County Correctional Facility","326","199","0.94%"
"Washington County Correctional Facility","300","200","0.95%"
"Winston County Correctional Facility","280","270","1.28%"
"Yazoo County Correctional Facility","300","242","1.15%"
"TOTAL REGIONAL FACILITIES","4,494","3,678","17.45%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,298","6.16%"
"Marshall County Correctional Facility","1,000","999","4.74%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","945","4.48%"
"TOTAL PRIVATE PRISONS","5,972","3,242","15.38%"
