"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","12,492","37.03%"
"Property","16,109","47.75%"
"Aggravated Assualt","1,329","3.94%"
"Violent","2,668","7.91%"
"Sex","1,137","3.37%"
"TOTAL","33,735","100.00%"
