"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","12,415","59.86%","3,026","48.25%","15,441","57.16%"
"White","7,988","38.51%","3,152","50.26%","11,140","41.24%"
"Hispanic","137",".66%","24",".38%","161",".60%"
"Native American","18",".09%","8",".13%","26",".10%"
"Asian","61",".29%","14",".22%","75",".28%"
"Data Unavailable","122",".59%","48",".77%","170",".63%"
"TOTAL","20,741","100.00%","6,272","100.00%","27,013","100.00%"
