"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,604","58.16%","2,747","48.01%","14,351","55.90%"
"White","7,822","39.21%","2,841","49.65%","10,663","41.53%"
"Hispanic","203","1.02%","22","0.38%","225","0.88%"
"Native American","27","0.14%","5","0.09%","32","0.12%"
"Asian","55","0.28%","10","0.17%","65","0.25%"
"Data Unavailable","240","1.20%","97","1.70%","337","1.31%"
"TOTAL","19,951","100.00%","5,722","100.00%","25,673","100.00%"
