"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","8,886","20.26%"
"Probation - Compact","1,251","2.85%"
"Probation - Nonadjudicated","4,569","10.42%"
"Probation - Post Release","18,911","43.11%"
"TVC Probation","118","0.27%"
"PROBATION TOTAL","33,735","76.91%"
"Parole","7,817","17.82%"
"Parole - Compact","523","1.19%"
"Parole - Suspension","0","0.00%"
"TVC Parole","113","0.26%"
"PAROLE TOTAL","8,453","19.27%"
"Intensive Supervision Program - Court","720","1.64%"
"Intensive Supervision Program - Prison","80","0.18%"
"Earned Release Supervision","862","1.97%"
"Medical Release","11","0.03%"
"Conditional Release","2","0.005%"
"COMMUNITY INMATE TOTAL","1,675","6.69%"
"TOTAL","43,863","100.00%"
