"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,627","4,094","29.81%"
"Central Mississippi Correctional Facility","3,665","3,395","24.72%"
"South Mississippi Correctional Institution","3,204","3,095","22.54%"
"County Jails - Approved*","1,767","1,188","8.65%"
"County Jails - Unapproved**","0","291","2.12%"
"Community Work Centers","1,848","1,670","12.16%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,111","13,733","100.00%"
"Bolivar County Correctional Facility","294","279","9.53%"
"Carroll County Correctional Facility","280","266","9.09%"
"George County Correctional Facility","280","266","9.09%"
"Holmes County Correctional Facility","280","266","9.09%"
"Issaquena County Correctional Facility","274","258","8.81%"
"Jefferson County Correctional Facility","280","264","9.02%"
"Kemper County Correctional Facility","280","265","9.05%"
"Leake County Correctional Facility","280","265","9.05%"
"Marion County Correctional Facility","280","266","9.09%"
"Stone County Correctional Facility","280","266","9.09%"
"Winston County Correctional Facility","280","266","9.09%"
"TOTAL REGIONAL FACILITIES","3,088","2,927","100.00%"
"Delta Correctional Facility","972","955","17.42%"
"East MS Correctional Facility","1,500","1,359","24.79%"
"Marshall County Correctional Facility","1,000","982","17.91%"
"Walnut Grove Correctional Facility","1,500","1,212","22.10%"
"Wilkinson County Correctional Facility","1,000","975","17.78%"
"TOTAL PRIVATE PRISONS","5,972","5,483","100.00%"
"Community Trusties","02
2","18","0.07%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","91","0.35%"
"Court Order","0","289","1.12%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,193","22,541","87.34%"
"Intensive Supervision Program","0","1,194","4.63%"
"Earned Release Supervision Program","00","1,655","6.41%"
"Medical Release","","36","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2,885","11.18%"
"Other Custody","","326","1.26%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","49","0.19%"
"TOTAL","24,193","25,808","100.00%"
