"TOTAL","","34,045","100.00%","","",""
"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,838","58.94%","2,255","41.41%","13,093","54.93%"
"White","7,282","39.60%","3,108","57.07%","10,390","43.59%"
"Hispanic","158","0.86%","36",".66%","194",".81%"
"Native American","14",".08%","17",".31%","31",".13%"
"Asian","64",".35%","12",".22%","76",".32%"
"Data Unavailable","33",".18%","18",".33%","51",".21%"
"TOTAL","18,389","100.00%","5,446","100.00%","23,835","100.00%"
