"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,034","58.46%","2,757","49.97%","13,791","56.54%"
"White","7,403","39.23%","2,624","47.56%","10,027","41.11%"
"Hispanic","140","0.74%","25","0.45%","165","0.68%"
"Native American","24","0.13%","6","0.11%","30","0.12%"
"Asian","55","0.29%","15","0.27%","70","0.29%"
"Data Unavailable","217","1.15%","90","1.63%","307","1.26%"
"TOTAL","18,873","100.00%","5,517","100.00%","24,390","100.00%"
