"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","16,550","60.36%","3,765","46.90%","20,315","57.31%"
"White","10,470","38.19%","4,144","51.62%","14,614","41.23%"
"Hispanic","190","0.69%","53",".66%","243",".69%"
"Native American","30",".11%","10",".12%","40",".11%"
"Asian","84",".31%","23",".29%","107",".30%"
"Data Unavailable","94",".34%","33",".41%","127",".36%"
"TOTAL","27,418","100.00%","8,028","100.00%","35,446","100.00%"
