"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,348","60.63%","3,726","46.73%","20,074","57.46%"
"White","10,235","37.96%","4,049","50.78%","14,284","40.89%"
"Hispanic","175","0.65%","52",".65%","227",".65%"
"Native American","30",".11%","9",".11%","39",".11%"
"Asian","80",".30%","102","1.28%","182",".52%"
"Data Unavailable","94",".35%","35",".44%","129",".37%"
"TOTAL","26,962","100.00%","7,973","100.00%","34,935","100.00%"
