"TOTAL","","34,079","100.00%","","",""
"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,667","58.65%","2,291","41.55%","12,958","54.67%"
"White","7,246","39.84%","3,133","56.82%","10,379","43.79%"
"Hispanic","159","0.87%","39",".71%","198",".84%"
"Native American","14",".08%","17",".31%","31",".13%"
"Asian","58",".32%","15",".27%","73",".31%"
"Data Unavailable","43",".24%","19",".34%","62",".26%"
"TOTAL","18,187","100.00%","5,514","100.00%","23,701","100.00%"
