"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,628","61.48%","429","34.29%","5,057","57.60%"
"White","2,839","37.71%","805","64.35%","3,644","41.51%"
"Hispanic","34",".45%","13","1.04%","47",".54%"
"Native American","10",".13%","2",".16%","12",".14%"
"Asian","15",".20%","1",".08%","16",".18%"
"Data Unavailable","2",".03%","1",".08%","3",".03%"
"TOTAL","7,528","100.00%","1,251","100.00%","8,779","100.00%"
"","","BY OFFENSE","","","",""
"","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","OFFENDERS","OFFENDERS",""
"","","","Drug","4,188","47.70%",""
"","","","Property","3,645","41.52%",""
"","","","Violent","715","8.14%",""
"","","","Sex","121","1.38%",""
"","","","Aggravated Assault","110","1.25%",""
"","","","TOTAL","8,779","100.00%",""
