"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,501","59.89%","2,701","48.41%","14,202","57.30%"
"White","7,362","38.33%","2,795","50.10%","10,157","40.98%"
"Hispanic","129","0.67%","17","0.30%","146","0.59%"
"Native American","21","0.11%","5","0.09%","26","0.10%"
"Asian","54","0.28%","10","0.18%","64","0.26%"
"Data Unavailable","138","0.72%","51","0.91%","189","0.76%"
"TOTAL","19,205","100.00%","5,579","100.00%","24,784","100.00%"
