"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","3,254","14.75%"
"Central Mississippi Correctional Facility","4,094","3,805","17.25%"
"South Mississippi Correctional Institution","3,082","2,616","11.86%"
"Youthful Offender Facility","58","24","0.11%"
"County Jails - Approved","1,781","717","3.25%"
"County Jails - Unapproved","0","217","0.98%"
"Community Work Centers","1,154","554","2.51%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","11,187","50.72%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","294","1.33%"
"Bolivar County Correctional Facility","369","293","1.33%"
"Carroll County Correctional Facility","280","265","1.20%"
"Chickasaw County Correctional Facility","310","307","1.39%"
"George County Correctional Facility","280","339","1.54%"
"Holmes County Correctional Facility","280","280","1.27%"
"Issaquena County Correctional Facility","274","253","1.15%"
"Jefferson County Correctional Facility","280","280","1.27%"
"Kemper County Correctional Facility","355","349","1.58%"
"Leake County Correctional Facility","280","278","1.26%"
"Marion County Correctional Facility","280","367","1.66%"
"Stone County Correctional Facility","326","280","1.27%"
"Washington County Correctional Facility","300","136","0.62%"
"Winston County Correctional Facility","280","278","1.26%"
"Yazoo County Correctional Facility","300","298","1.35%"
"TOTAL REGIONAL FACILITIES","4,494","4,297","19.48%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,255","5.69%"
"Marshall County Correctional Facility","1,000","999","4.53%"
"Walnut Grove Correctional Facility","1,500","886","4.02%"
"Wilkinson County Correctional Facility","1,000","946","4.29%"
"TOTAL PRIVATE PRISONS","5,972","4,086","18.53%"
