"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,918","59.18%","2,289","41.84%","13,207","55.21%"
"White","7,271","39.41%","3,098","56.63%","10,369","43.35%"
"Hispanic","149","0.81%","34",".62%","183",".77%"
"Native American","13",".07%","16",".29%","29",".12%"
"Asian","63",".34%","14",".26%","77",".32%"
"Data Unavailable","35",".19%","20",".37%","55",".23%"
"TOTAL","18,449","100.00%","5,471","100.00%","23,920","100.00%"
