"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","","% OF"
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,266","71.77%","1,139","60.78%","15,405","70.82%"
"White","5,501","27.68%","718","38.31%","6,219","28.59%"
"Hispanic","71","0.36%","7","0.37%","78","0.36%"
"Native American","21","0.11%","5","0.27%","26","0.12%"
"Asian","17","0.09%","","0.27%","22","0.10%"
"Data Unavailable","1","0.01%","5 0","0.00%","1","0.00%"
"TOTAL","19,877","100.00%","1,874","100.00%","21,751","100.00%"
