"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","13,706","59.58%","3,286","47.98%","16,992","56.92%"
"White","8,929","38.81%","3,475","50.74%","12,404","41.55%"
"Hispanic","162",".70%","29",".42%","191",".64%"
"Native American","24",".10%","6",".09%","30",".10%"
"Asian","78",".34%","18",".26%","96",".32%"
"Data Unavailable","105",".46%","35",".51%","140",".47%"
"TOTAL","23,004","100.00%","6,849","100.00%","29,853","100.00%"
