"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,746","61.57%","433","34.28%","5,179","57.73%"
"White","2,898","37.60%","817","64.69%","3,715","41.41%"
"Hispanic","37",".48%","11",".87%","48",".54%"
"Native American","11",".14%","1",".08%","12",".13%"
"Asian","14",".18%","1",".08%","15",".17%"
"Data Unavailable","2",".03%","0",".00%","2",".02%"
"TOTAL","7,708","100.00%","1,263","100.00%","8,971","100.00%"
"","","BY OFFENSE","","","",""
"","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","OFFENDERS","OFFENDERS",""
"","","","Drug","4,274","47.64%",""
"","","","Property","3,727","41.54%",""
"","","","Violent","730","8.14%",""
"","","","Sex","122","1.36%",""
"","","","Aggravated Assault","118","1.32%",""
"","","","TOTAL","8,971","100.00%",""
