"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","11,247","39.72%"
"Probation - Compact","1,244","4.39%"
"Probation - Nonadjudicated","2,741","9.68%"
"Probation - Post Release","7,635","26.97%"
"PROBATION TOTAL","22,867","80.77%"
"Parole","2,015","7.12%"
"Parole - Compact","478","1.69%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,493","8.81%"
"Intensive Supervision Program - Court","938","3.31%"
"Intensive Supervision Program - Prison","250","0.88%"
"Earned Release Supervision","1,752","6.19%"
"Medical Release","13","0.05%"
"COMMUNITY INMATE TOTAL","2,953","10.43%"
"TOTAL","28,313","100.00%"
