"% OF TOTAL OFFENSES","33.95%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,728"
"Lifers","","1,654"
"Habitual Offenders","","929"
"Habitual Lifers","","147"
"Death Row","","69"
